000.000 =============================================================
000.000                     Station A                               
000.000 -------------------------------------------------------------
000.000 Protocol.lib, version 4.0, jiangyanjun0718@bupt.edu.cn
000.000 Channel: 8000 bps, 270 ms propagation delay, bit error rate 1.0E-05
000.000 Log file "F:\Code\20250418(network lab1)\upload\SR-MAX-A.log", TCP port 59144, debug mask 0x00
000.000 Station A is waiting for station B on TCP port 59144 ... Done.
000.120 New epoch: Tue May  6 11:28:04 2025
000.120 =================================================================
000.120 
000.121 SR-3, 构建时间: May  5 2025  21:24:47
003.032 .... 5 packets received, 3863 bps, 48.28%, Err 1 (4.3e-05)
005.143 .... 17 packets received, 7311 bps, 91.39%, Err 1 (2.5e-05)
007.304 .... 25 packets received, 7396 bps, 92.45%, Err 1 (1.7e-05)
009.416 .... 33 packets received, 7480 bps, 93.50%, Err 1 (1.4e-05)
011.526 .... 41 packets received, 7534 bps, 94.18%, Err 1 (1.1e-05)
013.639 .... 49 packets received, 7569 bps, 94.61%, Err 1 (9.3e-06)
015.738 .... 57 packets received, 7601 bps, 95.02%, Err 1 (8.0e-06)
017.863 .... 65 packets received, 7615 bps, 95.18%, Err 1 (7.1e-06)
019.959 .... 73 packets received, 7636 bps, 95.45%, Err 1 (6.3e-06)
022.066 .... 81 packets received, 7650 bps, 95.62%, Err 1 (5.7e-06)
024.176 .... 89 packets received, 7660 bps, 95.75%, Err 1 (5.2e-06)
026.305 .... 97 packets received, 7663 bps, 95.79%, Err 1 (4.8e-06)
028.391 .... 105 packets received, 7677 bps, 95.97%, Err 1 (4.4e-06)
031.842 .... 113 packets received, 7356 bps, 91.95%, Err 3 (1.2e-05)
033.972 .... 125 packets received, 7621 bps, 95.26%, Err 3 (1.1e-05)
036.052 .... 133 packets received, 7636 bps, 95.45%, Err 3 (1.0e-05)
038.177 .... 141 packets received, 7640 bps, 95.50%, Err 3 (9.9e-06)
040.306 .... 149 packets received, 7643 bps, 95.54%, Err 3 (9.3e-06)
042.443 .... 157 packets received, 7644 bps, 95.55%, Err 3 (8.9e-06)
