000.000 =============================================================
000.000                     Station A                               
000.000 -------------------------------------------------------------
000.000 Protocol.lib, version 4.0, jiangyanjun0718@bupt.edu.cn
000.000 Channel: 8000 bps, 270 ms propagation delay, bit error rate 1.0E-05
000.000 Log file "F:\Code\20250418(network lab1)\upload\SR-MAX-A.log", TCP port 59144, debug mask 0x00
000.000 Station A is waiting for station B on TCP port 59144 ... Done.
000.236 New epoch: Tue May  6 17:10:23 2025
000.236 =================================================================
000.236 
000.237 SR-3, 构建时间: May  6 2025  16:05:11
002.882 .... 4 packets received, 3459 bps, 43.24%, Err 1 (4.8e-05)
005.023 .... 16 packets received, 7267 bps, 90.84%, Err 1 (2.6e-05)
007.127 .... 24 packets received, 7433 bps, 92.91%, Err 1 (1.8e-05)
009.251 .... 32 packets received, 7501 bps, 93.76%, Err 1 (1.4e-05)
011.341 .... 40 packets received, 7566 bps, 94.58%, Err 1 (1.1e-05)
013.487 .... 48 packets received, 7578 bps, 94.72%, Err 1 (9.5e-06)
015.590 .... 56 packets received, 7607 bps, 95.09%, Err 1 (8.1e-06)
017.692 .... 64 packets received, 7630 bps, 95.38%, Err 1 (7.2e-06)
019.823 .... 72 packets received, 7637 bps, 95.46%, Err 1 (6.4e-06)
021.893 .... 80 packets received, 7664 bps, 95.80%, Err 1 (5.8e-06)
024.038 .... 88 packets received, 7661 bps, 95.77%, Err 1 (5.3e-06)
026.145 .... 96 packets received, 7671 bps, 95.88%, Err 1 (4.8e-06)
028.261 .... 104 packets received, 7676 bps, 95.95%, Err 3 (1.3e-05)
031.431 .... 106 packets received, 7022 bps, 87.77%, Err 3 (1.2e-05)
033.567 .... 122 packets received, 7559 bps, 94.49%, Err 3 (1.1e-05)
035.668 .... 130 packets received, 7574 bps, 94.67%, Err 3 (1.1e-05)
037.791 .... 138 packets received, 7582 bps, 94.77%, Err 3 (1.0e-05)
039.914 .... 146 packets received, 7589 bps, 94.86%, Err 3 (9.5e-06)
042.004 .... 154 packets received, 7602 bps, 95.02%, Err 3 (9.0e-06)
044.148 .... 162 packets received, 7604 bps, 95.05%, Err 3 (8.5e-06)
046.210 .... 169 packets received, 7574 bps, 94.68%, Err 4 (1.1e-05)
048.363 .... 177 packets received, 7576 bps, 94.70%, Err 4 (1.0e-05)
050.464 .... 185 packets received, 7585 bps, 94.81%, Err 4 (1.0e-05)
052.594 .... 193 packets received, 7590 bps, 94.87%, Err 4 (9.6e-06)
054.681 .... 201 packets received, 7600 bps, 95.00%, Err 4 (9.2e-06)
056.802 .... 209 packets received, 7604 bps, 95.05%, Err 4 (8.8e-06)
058.921 .... 217 packets received, 7609 bps, 95.11%, Err 4 (8.5e-06)
061.047 .... 225 packets received, 7612 bps, 95.15%, Err 4 (8.2e-06)
063.139 .... 228 packets received, 7456 bps, 93.20%, Err 5 (9.9e-06)
066.081 .... 238 packets received, 7434 bps, 92.92%, Err 6 (1.1e-05)
068.142 .... 250 packets received, 7571 bps, 94.64%, Err 6 (1.1e-05)
070.292 .... 258 packets received, 7572 bps, 94.65%, Err 6 (1.1e-05)
072.363 .... 266 packets received, 7582 bps, 94.78%, Err 6 (1.0e-05)
074.493 .... 274 packets received, 7585 bps, 94.82%, Err 6 (1.0e-05)
076.597 .... 282 packets received, 7591 bps, 94.89%, Err 6 (9.8e-06)
078.714 .... 290 packets received, 7595 bps, 94.94%, Err 6 (9.6e-06)
080.841 .... 298 packets received, 7598 bps, 94.97%, Err 6 (9.3e-06)
084.043 .... 305 packets received, 7478 bps, 93.48%, Err 7 (1.0e-05)
086.148 .... 317 packets received, 7581 bps, 94.77%, Err 7 (1.0e-05)
088.231 .... 325 packets received, 7588 bps, 94.85%, Err 7 (9.9e-06)
090.357 .... 333 packets received, 7591 bps, 94.89%, Err 7 (9.7e-06)
092.447 .... 341 packets received, 7596 bps, 94.96%, Err 7 (9.5e-06)
095.927 .... 349 packets received, 7491 bps, 93.64%, Err 8 (1.0e-05)
098.014 .... 361 packets received, 7583 bps, 94.79%, Err 9 (1.2e-05)
100.127 .... 369 packets received, 7586 bps, 94.83%, Err 9 (1.1e-05)
102.233 .... 377 packets received, 7590 bps, 94.88%, Err 9 (1.1e-05)
104.336 .... 385 packets received, 7595 bps, 94.93%, Err 9 (1.1e-05)
106.483 .... 393 packets received, 7595 bps, 94.94%, Err 9 (1.1e-05)
108.555 .... 401 packets received, 7601 bps, 95.02%, Err 9 (1.0e-05)
110.672 .... 409 packets received, 7604 bps, 95.05%, Err 9 (1.0e-05)
112.800 .... 417 packets received, 7606 bps, 95.07%, Err 9 (1.0e-05)
114.918 .... 425 packets received, 7608 bps, 95.10%, Err 9 (9.8e-06)
117.024 .... 433 packets received, 7611 bps, 95.14%, Err 9 (9.6e-06)
119.104 .... 441 packets received, 7616 bps, 95.20%, Err 9 (9.5e-06)
121.246 .... 449 packets received, 7616 bps, 95.21%, Err 9 (9.3e-06)
123.346 .... 457 packets received, 7620 bps, 95.25%, Err 9 (9.1e-06)
126.500 .... 464 packets received, 7543 bps, 94.28%, Err 10 (9.9e-06)
128.627 .... 476 packets received, 7609 bps, 95.12%, Err 10 (9.7e-06)
130.735 .... 484 packets received, 7612 bps, 95.15%, Err 10 (9.6e-06)
132.849 .... 492 packets received, 7614 bps, 95.18%, Err 10 (9.4e-06)
134.987 .... 500 packets received, 7615 bps, 95.19%, Err 10 (9.3e-06)
137.897 .... 507 packets received, 7558 bps, 94.47%, Err 11 (1.0e-05)
139.984 .... 518 packets received, 7606 bps, 95.08%, Err 11 (9.8e-06)
142.089 .... 526 packets received, 7609 bps, 95.11%, Err 11 (9.7e-06)
144.243 .... 534 packets received, 7609 bps, 95.11%, Err 11 (9.5e-06)
146.336 .... 542 packets received, 7612 bps, 95.15%, Err 11 (9.4e-06)
148.455 .... 550 packets received, 7614 bps, 95.17%, Err 11 (9.3e-06)
151.346 .... 556 packets received, 7549 bps, 94.37%, Err 13 (1.1e-05)
153.473 .... 567 packets received, 7592 bps, 94.90%, Err 13 (1.1e-05)
155.571 .... 575 packets received, 7595 bps, 94.93%, Err 13 (1.0e-05)
157.710 .... 583 packets received, 7596 bps, 94.94%, Err 13 (1.0e-05)
159.816 .... 591 packets received, 7598 bps, 94.97%, Err 13 (1.0e-05)
161.919 .... 599 packets received, 7600 bps, 95.01%, Err 13 (1.0e-05)
164.286 .... 604 packets received, 7553 bps, 94.41%, Err 15 (1.1e-05)
166.407 .... 614 packets received, 7580 bps, 94.75%, Err 15 (1.1e-05)
168.510 .... 622 packets received, 7583 bps, 94.78%, Err 15 (1.1e-05)
170.646 .... 630 packets received, 7584 bps, 94.80%, Err 15 (1.1e-05)
172.763 .... 638 packets received, 7586 bps, 94.82%, Err 15 (1.1e-05)
174.875 .... 646 packets received, 7588 bps, 94.85%, Err 15 (1.1e-05)
176.973 .... 654 packets received, 7590 bps, 94.88%, Err 15 (1.1e-05)
179.106 .... 662 packets received, 7591 bps, 94.89%, Err 15 (1.0e-05)
181.192 .... 670 packets received, 7595 bps, 94.93%, Err 15 (1.0e-05)
183.320 .... 678 packets received, 7596 bps, 94.95%, Err 15 (1.0e-05)
185.489 .... 686 packets received, 7595 bps, 94.94%, Err 15 (1.0e-05)
187.543 .... 693 packets received, 7588 bps, 94.86%, Err 16 (1.1e-05)
189.675 .... 701 packets received, 7590 bps, 94.87%, Err 16 (1.1e-05)
191.776 .... 709 packets received, 7592 bps, 94.90%, Err 16 (1.0e-05)
193.876 .... 717 packets received, 7594 bps, 94.93%, Err 16 (1.0e-05)
196.003 .... 725 packets received, 7595 bps, 94.94%, Err 16 (1.0e-05)
198.114 .... 733 packets received, 7597 bps, 94.96%, Err 16 (1.0e-05)
205.708 .... 736 packets received, 7346 bps, 91.82%, Err 18 (1.1e-05)
207.842 .... 754 packets received, 7448 bps, 93.10%, Err 18 (1.1e-05)
211.014 .... 761 packets received, 7404 bps, 92.55%, Err 20 (1.2e-05)
213.080 .... 772 packets received, 7438 bps, 92.97%, Err 20 (1.2e-05)
